年齢,職種,結婚,学歴,債務不履行,預金残高,住宅ローン,個人ローン,連絡手段,日,月,秒数,連絡回数,経過日数,事前連絡回数,前回の結果,結果
42,4,1,2,0,2187,1,0,0,17,11,525,3,-1,0,3,1
67,5,1,2,0,701,0,0,0,6,8,254,2,-1,0,3,1
34,0,0,1,0,479,1,0,0,12,5,515,1,350,5,0,1
55,5,0,1,0,1580,0,1,2,19,6,1007,1,-1,0,3,1
53,4,1,3,0,2240,1,0,0,2,6,282,2,385,1,2,1
60,6,1,0,0,362,0,1,0,29,7,816,6,-1,0,3,1
34,6,2,2,0,462,0,0,0,21,8,1877,3,-1,0,3,1
43,7,2,1,0,3403,1,0,0,12,11,707,2,97,2,2,1
58,7,0,1,0,462,0,0,0,13,11,495,1,93,1,2,1
41,0,0,1,0,6046,1,1,1,15,3,300,6,182,2,2,1
32,7,2,1,0,152,1,0,0,25,5,158,2,-1,0,3,1
53,10,1,0,0,980,1,0,0,3,12,352,1,-1,0,3,1
41,6,1,2,0,231,0,0,0,7,8,352,2,-1,0,3,1
28,8,2,1,0,153,0,0,0,23,7,1124,2,-1,0,3,1
26,9,2,1,0,668,1,0,2,28,5,576,3,-1,0,3,1
28,7,2,1,0,168,0,0,0,1,6,347,3,140,2,2,1
29,3,2,2,0,19,0,0,0,5,2,110,2,64,2,2,1
33,7,1,1,0,386,0,0,0,12,11,253,1,92,4,0,1
34,9,1,2,0,1539,1,0,0,15,6,441,1,56,1,1,1
42,4,1,3,0,1519,0,0,0,19,10,230,1,92,1,2,1
52,7,1,1,0,657,0,0,1,7,7,398,2,460,2,0,1
34,4,1,2,0,3301,1,0,0,17,6,485,2,227,4,0,1
37,9,2,1,0,-242,1,0,0,13,8,1149,6,-1,0,3,1
35,4,1,1,0,724,1,0,0,14,7,287,2,415,1,0,1
83,5,0,0,0,1097,0,0,1,5,3,181,1,-1,0,3,1
27,8,2,1,0,213,0,0,0,27,3,378,1,-1,0,3,1
27,9,2,1,0,489,1,0,0,30,7,356,4,-1,0,3,1
26,8,2,2,0,294,0,0,0,5,3,87,1,91,2,2,1
33,0,1,1,0,95,1,0,0,30,4,335,1,-1,0,3,1
36,9,2,1,1,12,0,0,0,12,8,587,2,-1,0,3,1
60,9,2,0,0,11262,0,0,0,26,8,323,1,-1,0,3,1
37,4,1,2,0,5106,0,0,0,30,4,244,1,-1,0,3,1
49,0,1,1,0,197,1,0,0,13,4,223,1,182,2,0,1
55,3,0,0,0,976,0,0,0,28,6,345,1,94,3,1,1
34,4,1,2,0,0,1,0,0,7,8,262,1,99,2,2,1
33,7,1,1,0,478,0,0,0,30,4,475,2,-1,0,3,1
55,1,0,1,0,1613,1,0,0,3,4,296,1,270,3,0,1
50,4,2,2,0,1200,0,0,0,14,8,904,3,-1,0,3,1
28,9,2,1,0,227,0,0,0,30,4,278,1,-1,0,3,1
55,9,1,1,1,-308,0,0,0,2,2,781,1,-1,0,3,1
34,0,2,2,0,18,1,1,0,30,4,359,1,-1,0,3,1
53,0,1,1,0,1796,0,0,1,16,3,295,1,91,2,2,1
33,0,1,2,0,79,1,0,0,22,10,249,2,335,2,0,1
36,4,2,2,0,2944,0,0,0,18,8,882,8,-1,0,3,1
