Price,Location,Type,Area,Building,Walk,Years
1620,江戸川区,3DK,50.25,52.31,10.0,39.0
3840,江戸川区,3LDK,82.62,95.6,20.0,28.0
4490,杉並区,3DK,46.81,76.6,13.0,22.0
5400,世田谷区,2LDK,75.69,77.05,12.0,10.0
5800,杉並区,1LDK,76.17,76.32,10.0,0.0
5960,杉並区,3LDK,106.3,80.01,17.0,3.0
6010,世田谷区,4DK,38.16,81.12,0.0,24.0
6770,世田谷区,2LDK,73.95,80.82,9.0,0.0
7020,世田谷区,3LDK,79.19,96.1,12.0,29.0
1310,葛飾区,1LDK,22.12,29.33,9.0,63.0
1760,江戸川区,2LDK,44.58,58.04,18.0,37.0
1740,江戸川区,3LDK,61.19,66.36,8.0,57.0
1993,葛飾区,3DK,73.49,59.67,31.0,42.0
1980,葛飾区,2DK,38.73,60.46,22.0,43.0
2240,杉並区,2DK,46.3,50.54,15.0,51.0
2460,葛飾区,3LDK,64.82,85.03,11.0,11.0
2520,江戸川区,3DK,35.86,48.25,5.0,10.0
2620,葛飾区,2DK,52.24,55.01,21.0,24.0
2900,杉並区,1LDK,35.9,36.79,8.0,34.0
2970,杉並区,2DK,55.57,70.14,7.0,24.0
2980,江戸川区,5DK,74.1,91.72,10.0,32.0
3110,江戸川区,3DK,49.47,53.51,26.0,40.0
3318,江戸川区,3LDK,101.76,97.18,35.0,10.0
3280,杉並区,3DK,41.97,38.8,9.0,45.0
3350,葛飾区,2LDK,63.93,92.32,16.0,12.0
3490,杉並区,2LDK,49.7,50.89,8.0,49.0
3720,杉並区,3LDK,45.41,62.5,5.0,22.0
4000,杉並区,3LDK,55.17,78.17,7.0,26.0
4260,江戸川区,4LDK,69.23,102.67,12.0,3.0
4280,江戸川区,4LDK,72.72,103.1,19.0,18.0
4280,江戸川区,3LDK,69.9,98.87,6.0,20.0
4340,世田谷区,3LDK,40.29,58.51,8.0,16.0
4450,杉並区,2LDK,39.01,57.61,11.0,20.0
4550,世田谷区,3LDK,43.57,68.02,17.0,15.0
4740,杉並区,3LDK,74.95,74.57,6.0,20.0
4820,杉並区,3DK,75.55,73.29,3.0,23.0
4750,葛飾区,4LDK,84.69,84.61,8.0,1.0
4778,葛飾区,4LDK,85.33,102.66,4.0,18.0
4900,葛飾区,4LDK,67.2,101.44,5.0,2.0
4950,世田谷区,3LDK,58.0,83.75,17.0,0.0
4970,杉並区,2LDK,39.6,62.48,8.0,7.0
4970,世田谷区,2LDK,45.42,65.83,10.0,9.0
5200,江戸川区,6LDK,98.46,127.5,11.0,19.0
5300,杉並区,2LDK,90.1,67.85,10.0,2.0
5420,世田谷区,4LDK,79.67,113.69,18.0,17.0
5460,世田谷区,4LDK,65.33,98.31,0.0,7.0
5970,世田谷区,4LDK,100.97,84.64,12.0,7.0
6150,杉並区,2LDK,95.51,84.09,6.0,12.0
6520,杉並区,4LDK,82.16,112.09,9.0,21.0
6760,世田谷区,3LDK,92.09,72.17,17.0,3.0
6980,世田谷区,3LDK,118.06,103.45,13.0,15.0
7160,世田谷区,4LDK,147.26,116.15,16.0,35.0
7670,江戸川区,3LDK,181.18,160.62,24.0,22.0
7810,世田谷区,3LDK,61.36,97.25,8.0,4.0
8050,世田谷区,3LDK,67.57,138.37,6.0,5.0
8320,世田谷区,4LDK,97.87,93.84,14.0,13.0
8460,杉並区,2LDK,95.46,88.33,13.0,0.0
9950,世田谷区,3LDK,102.83,168.81,24.0,33.0
14020,杉並区,4LDK,287.54,138.12,7.0,21.0
14240,世田谷区,3LDK,108.57,160.65,8.0,4.0
14500,杉並区,8LDK,209.95,216.32,18.0,36.0
17220,世田谷区,5LDK,208.36,204.58,11.0,21.0
17480,世田谷区,5LDK,222.99,311.8,5.0,30.0
19840,杉並区,2LDK,182.89,185.17,10.0,12.0
19840,世田谷区,6DK,296.46,317.26,11.0,23.0
21960,杉並区,3LDK,119.05,350.58,10.0,25.0
