Price,Type,Building,Years,Loc_Low
1620,3DK,52.31,39.0,1
3840,3LDK,95.6,28.0,1
4490,3DK,76.6,22.0,0
5400,2LDK,77.05,10.0,0
5800,1LDK,76.32,0.0,0
5960,3LDK,80.01,3.0,0
6010,4DK,81.12,24.0,0
6770,2LDK,80.82,0.0,0
7020,3LDK,96.1,29.0,0
1310,1LDK,29.33,63.0,1
1760,2LDK,58.04,37.0,1
1740,3LDK,66.36,57.0,1
1993,3DK,59.67,42.0,1
1980,2DK,60.46,43.0,1
2240,2DK,50.54,51.0,0
2460,3LDK,85.03,11.0,1
2520,3DK,48.25,10.0,1
2620,2DK,55.01,24.0,1
2900,1LDK,36.79,34.0,0
2970,2DK,70.14,24.0,0
2980,5DK,91.72,32.0,1
3110,3DK,53.51,40.0,1
3318,3LDK,97.18,10.0,1
3280,3DK,38.8,45.0,0
3350,2LDK,92.32,12.0,1
3490,2LDK,50.89,49.0,0
3720,3LDK,62.5,22.0,0
4000,3LDK,78.17,26.0,0
4260,4LDK,102.67,3.0,1
4280,4LDK,103.1,18.0,1
4280,3LDK,98.87,20.0,1
4340,3LDK,58.51,16.0,0
4450,2LDK,57.61,20.0,0
4550,3LDK,68.02,15.0,0
4740,3LDK,74.57,20.0,0
4820,3DK,73.29,23.0,0
4750,4LDK,84.61,1.0,1
4778,4LDK,102.66,18.0,1
4900,4LDK,101.44,2.0,1
4950,3LDK,83.75,0.0,0
4970,2LDK,62.48,7.0,0
4970,2LDK,65.83,9.0,0
5200,6LDK,127.5,19.0,1
5300,2LDK,67.85,2.0,0
5420,4LDK,113.69,17.0,0
5460,4LDK,98.31,7.0,0
5970,4LDK,84.64,7.0,0
6150,2LDK,84.09,12.0,0
6520,4LDK,112.09,21.0,0
6760,3LDK,72.17,3.0,0
6980,3LDK,103.45,15.0,0
7160,4LDK,116.15,35.0,0
7050,4LDK,111.29,44.0,0
1490,3LDK,127.29,22.0,0
4010,3LDK,75.96,32.0,0
4690,2LDK,99.0,12.0,0
4760,3DK,75.16,23.0,0
5760,3LDK,127.02,15.0,0
6660,1LDK,99.03,8.0,0
1350,2LDK,41.31,44.0,1
2470,3LDK,71.0,18.0,1
2540,3DK,64.89,11.0,1
2690,3DK,67.14,29.0,0
3640,4LDK,86.91,15.0,1
3960,5LDK,133.71,31.0,1
3980,3LDK,126.74,47.0,0
4180,5LDK,94.38,21.0,1
4380,3LDK,81.12,13.0,0
4360,4LDK,103.2,16.0,1
4420,2LDK,71.28,47.0,0
4500,3LDK,93.17,6.0,1
5290,2LDK,110.85,9.0,0
5490,2LDK,65.67,26.0,0
6180,4LDK,114.64,21.0,0
6160,4LDK,115.26,17.0,0
6360,4LDK,134.16,31.0,0
6630,5LDK,155.51,24.0,0
6780,4LDK,174.33,18.0,0
2660,3DK,62.78,47.0,0
2870,4DK,57.69,33.0,0
3170,3DK,57.82,29.0,0
3190,2LDK,66.85,7.0,1
3210,3LDK,71.13,21.0,1
3260,2DK,48.81,7.0,1
3570,3DK,46.01,40.0,0
4000,3LDK,81.41,56.0,0
3980,3LDK,78.23,20.0,1
4030,3LDK,99.09,1.0,1
4070,3DK,66.91,44.0,0
4240,2LDK,85.25,23.0,0
4340,3LDK,71.66,6.0,0
4760,3LDK,72.1,15.0,0
4740,3LDK,70.13,26.0,0
4880,2LDK,67.35,0.0,0
4900,3LDK,65.51,23.0,0
5010,2LDK,67.17,12.0,0
5010,2LDK,61.97,11.0,0
5020,4LDK,101.46,8.0,1
5120,3LDK,77.65,12.0,0
5140,4LDK,103.07,44.0,0
5150,3LDK,71.07,26.0,0
5270,4LDK,96.89,15.0,0
5310,4LDK,151.2,16.0,1
5370,2LDK,73.33,1.0,0
5520,2LDK,83.64,3.0,0
5660,4LDK,85.77,16.0,0
5820,2LDK,84.79,3.0,0
5800,2LDK,103.44,15.0,0
5900,4LDK,93.11,29.0,0
6000,4LDK,90.83,22.0,0
5960,5LDK,126.2,17.0,0
5980,3LDK,101.5,3.0,0
