Price,Building,Years,Loc_Low,Plan_Normal,Plan_Large
1620,52.31,39.0,1,1,0
3840,95.6,28.0,1,1,0
4490,76.6,22.0,0,1,0
5400,77.05,10.0,0,0,0
5800,76.32,0.0,0,0,0
5960,80.01,3.0,0,1,0
6010,81.12,24.0,0,0,1
6770,80.82,0.0,0,0,0
7020,96.1,29.0,0,1,0
1310,29.33,63.0,1,0,0
1760,58.04,37.0,1,0,0
1740,66.36,57.0,1,1,0
1993,59.67,42.0,1,1,0
1980,60.46,43.0,1,0,0
2240,50.54,51.0,0,0,0
2460,85.03,11.0,1,1,0
2520,48.25,10.0,1,1,0
2620,55.01,24.0,1,0,0
2900,36.79,34.0,0,0,0
2970,70.14,24.0,0,0,0
2980,91.72,32.0,1,0,1
3110,53.51,40.0,1,1,0
3318,97.18,10.0,1,1,0
3280,38.8,45.0,0,1,0
3350,92.32,12.0,1,0,0
3490,50.89,49.0,0,0,0
3720,62.5,22.0,0,1,0
4000,78.17,26.0,0,1,0
4260,102.67,3.0,1,0,1
4280,103.1,18.0,1,0,1
4280,98.87,20.0,1,1,0
4340,58.51,16.0,0,1,0
4450,57.61,20.0,0,0,0
4550,68.02,15.0,0,1,0
4740,74.57,20.0,0,1,0
4820,73.29,23.0,0,1,0
4750,84.61,1.0,1,0,1
4778,102.66,18.0,1,0,1
4900,101.44,2.0,1,0,1
4950,83.75,0.0,0,1,0
4970,62.48,7.0,0,0,0
4970,65.83,9.0,0,0,0
5200,127.5,19.0,1,0,1
5300,67.85,2.0,0,0,0
5420,113.69,17.0,0,0,1
5460,98.31,7.0,0,0,1
5970,84.64,7.0,0,0,1
6150,84.09,12.0,0,0,0
6520,112.09,21.0,0,0,1
6760,72.17,3.0,0,1,0
6980,103.45,15.0,0,1,0
7160,116.15,35.0,0,0,1
7050,111.29,44.0,0,0,1
1490,127.29,22.0,0,1,0
4010,75.96,32.0,0,1,0
4690,99.0,12.0,0,0,0
4760,75.16,23.0,0,1,0
5760,127.02,15.0,0,1,0
6660,99.03,8.0,0,0,0
1350,41.31,44.0,1,0,0
2470,71.0,18.0,1,1,0
2540,64.89,11.0,1,1,0
2690,67.14,29.0,0,1,0
3640,86.91,15.0,1,0,1
3960,133.71,31.0,1,0,1
3980,126.74,47.0,0,1,0
4180,94.38,21.0,1,0,1
4380,81.12,13.0,0,1,0
4360,103.2,16.0,1,0,1
4420,71.28,47.0,0,0,0
4500,93.17,6.0,1,1,0
5290,110.85,9.0,0,0,0
5490,65.67,26.0,0,0,0
6180,114.64,21.0,0,0,1
6160,115.26,17.0,0,0,1
6360,134.16,31.0,0,0,1
6630,155.51,24.0,0,0,1
6780,174.33,18.0,0,0,1
2660,62.78,47.0,0,1,0
2870,57.69,33.0,0,0,1
3170,57.82,29.0,0,1,0
3190,66.85,7.0,1,0,0
3210,71.13,21.0,1,1,0
3260,48.81,7.0,1,0,0
3570,46.01,40.0,0,1,0
4000,81.41,56.0,0,1,0
3980,78.23,20.0,1,1,0
4030,99.09,1.0,1,1,0
4070,66.91,44.0,0,1,0
4240,85.25,23.0,0,0,0
4340,71.66,6.0,0,1,0
4760,72.1,15.0,0,1,0
4740,70.13,26.0,0,1,0
4880,67.35,0.0,0,0,0
4900,65.51,23.0,0,1,0
5010,67.17,12.0,0,0,0
5010,61.97,11.0,0,0,0
5020,101.46,8.0,1,0,1
5120,77.65,12.0,0,1,0
5140,103.07,44.0,0,0,1
5150,71.07,26.0,0,1,0
5270,96.89,15.0,0,0,1
5310,151.2,16.0,1,0,1
5370,73.33,1.0,0,0,0
5520,83.64,3.0,0,0,0
5660,85.77,16.0,0,0,1
5820,84.79,3.0,0,0,0
5800,103.44,15.0,0,0,0
5900,93.11,29.0,0,0,1
6000,90.83,22.0,0,0,1
5960,126.2,17.0,0,0,1
5980,101.5,3.0,0,1,0
